measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,1-4 years,Total cancers,Percent,1990,0.015400961080722442,0.020885977829171634,0.01029606909896604
Deaths,Global,Both,5-9 years,Total cancers,Percent,1990,0.04595756492183157,0.054453824641629796,0.03843462058775116
Deaths,Global,Both,10-14 years,Total cancers,Percent,1990,0.06542832834747543,0.07277764796369154,0.05792429334513497
Deaths,Global,Both,15-19 years,Total cancers,Percent,1990,0.05377543782922572,0.057498935734441224,0.049732488011578105
Deaths,Global,Both,20-24 years,Total cancers,Percent,1990,0.05050117765384204,0.05353728132089125,0.047280645331636305
Deaths,Global,Both,25-29 years,Total cancers,Percent,1990,0.06263500150830248,0.06607261335596908,0.05918875490718829
Deaths,Global,Both,30-34 years,Total cancers,Percent,1990,0.09062320464056862,0.09475581588822414,0.086549155470408
Deaths,Global,Both,35-39 years,Total cancers,Percent,1990,0.131882075309534,0.13762410684134885,0.12644745913539948
Deaths,Global,Both,40-44 years,Total cancers,Percent,1990,0.17478798524182274,0.18100704019604708,0.16872904774280706
Deaths,Global,Both,45-49 years,Total cancers,Percent,1990,0.2044299356014668,0.21059013037737054,0.19808168282566405
Deaths,Global,Both,50-54 years,Total cancers,Percent,1990,0.23070100626590187,0.23696526647206373,0.22407162930654742
Deaths,Global,Both,55-59 years,Total cancers,Percent,1990,0.24340648085974723,0.24960363349672754,0.23717689014715188
Deaths,Global,Both,60-64 years,Total cancers,Percent,1990,0.23537042147624176,0.24107981684106175,0.2295920072063573
Deaths,Global,Both,65-69 years,Total cancers,Percent,1990,0.22114460813841452,0.22575640853901208,0.2158239515646632
Deaths,Global,Both,70-74 years,Total cancers,Percent,1990,0.18688790221823234,0.19175640443590616,0.18131250928763357
Deaths,Global,Both,75-79 years,Total cancers,Percent,1990,0.15985602883657923,0.16412829599098594,0.15376355600432887
Deaths,Global,Both,5-14 years,Total cancers,Percent,1990,0.052875165422367046,0.06055920611492911,0.045585324779241
Deaths,Global,Both,15-49 years,Total cancers,Percent,1990,0.12181204971696208,0.1263808349576327,0.11732470043567714
Deaths,Global,Both,50-69 years,Total cancers,Percent,1990,0.23172542920739164,0.23690911553869287,0.2262179114962249
Deaths,Global,Both,80-84,Total cancers,Percent,1990,0.12264749055280526,0.12742455416154652,0.11330418717486057
Deaths,Global,Both,85-89,Total cancers,Percent,1990,0.10022570552043432,0.10600179167120989,0.08878867604457116
Deaths,Global,Both,90-94,Total cancers,Percent,1990,0.07758855604237659,0.0840274322513261,0.06519725789818187
Deaths,Global,Both,50-74 years,Total cancers,Percent,1990,0.2201678439197261,0.22520633908637125,0.2148227232458332
Deaths,Global,Both,10-24 years,Total cancers,Percent,1990,0.05506378251126997,0.05893521992010272,0.05111414745599836
Deaths,Global,Both,10-19 years,Total cancers,Percent,1990,0.05845859992589941,0.06329822296537145,0.05329815813122168
Deaths,Global,Both,10 to 54 years,Total cancers,Percent,1990,0.14152036856798755,0.14631621744583317,0.13675835069383246
Deaths,Global,Both,5-19 years,Total cancers,Percent,1990,0.053186718657132814,0.059262338101994334,0.04721507746458205
Deaths,Global,Both,15-39 years,Total cancers,Percent,1990,0.08153492130055899,0.08525759623169024,0.07792098770042885
Deaths,Global,Both,25-49 years,Total cancers,Percent,1990,0.14181790926507115,0.14683405922644066,0.13667430546651824
Deaths,Global,Both,55+ years,Total cancers,Percent,1990,0.174736297418876,0.17890911218361133,0.16858736291390844
Deaths,Global,Both,60-79 years,Total cancers,Percent,1990,0.19786811861105363,0.20205100192012987,0.19254025719088438
Deaths,Global,Both,65-74 years,Total cancers,Percent,1990,0.2034129181762089,0.20787606633730724,0.19812147472783107
Deaths,Global,Both,75-84 years,Total cancers,Percent,1990,0.14233169532238654,0.1466403772675431,0.13466827138077628
Deaths,Global,Both,20-54 years,Total cancers,Percent,1990,0.15321019855598028,0.1581701051401703,0.14807851510650244
Deaths,Global,Both,55-89 years,Total cancers,Percent,1990,0.18048513880043715,0.1845850264190816,0.1746954082014243
Deaths,Global,Both,60-89 years,Total cancers,Percent,1990,0.17323716362135538,0.17731166764870004,0.16715423437812196
Deaths,Global,Both,65-89 years,Total cancers,Percent,1990,0.16213485154308654,0.1664030416210116,0.1554199605745322
Deaths,Global,Both,70-89 years,Total cancers,Percent,1990,0.14727274306980748,0.1517346368338108,0.13987650392408474
Deaths,Global,Both,75-94 years,Total cancers,Percent,1990,0.12783342605313994,0.13241175388041226,0.11918018724282513
Deaths,Global,Both,1-4 years,Total cancers,Percent,1997,0.015143891134664359,0.019895223330372996,0.010860569861418597
Deaths,Global,Both,5-9 years,Total cancers,Percent,1997,0.051300777800020424,0.059773611035974554,0.04379423526952693
Deaths,Global,Both,10-14 years,Total cancers,Percent,1997,0.07215399889264752,0.07934624035576794,0.06459691233712554
Deaths,Global,Both,15-19 years,Total cancers,Percent,1997,0.05356468173879998,0.05696356730432754,0.049590569162195605
Deaths,Global,Both,20-24 years,Total cancers,Percent,1997,0.04884308741485479,0.05194422364176692,0.045315758508209986
Deaths,Global,Both,25-29 years,Total cancers,Percent,1997,0.06065695831645288,0.06561107197938838,0.055296936252808425
Deaths,Global,Both,30-34 years,Total cancers,Percent,1997,0.08790041300196744,0.09443568706873262,0.0809107913576278
Deaths,Global,Both,35-39 years,Total cancers,Percent,1997,0.11860545913829837,0.12623610521400713,0.11026902550642258
Deaths,Global,Both,40-44 years,Total cancers,Percent,1997,0.168120715754654,0.17543560617547901,0.16100977916702913
Deaths,Global,Both,45-49 years,Total cancers,Percent,1997,0.2075835850273143,0.21405572719413077,0.20102583794185472
Deaths,Global,Both,50-54 years,Total cancers,Percent,1997,0.2301762086932198,0.23583963186717977,0.22417334748663492
Deaths,Global,Both,55-59 years,Total cancers,Percent,1997,0.24257942393351264,0.24786828701143954,0.2371661799819977
Deaths,Global,Both,60-64 years,Total cancers,Percent,1997,0.23514011352151376,0.24001181204769406,0.23008009533135992
Deaths,Global,Both,65-69 years,Total cancers,Percent,1997,0.22536079000036033,0.22943015709124048,0.22015294647968622
Deaths,Global,Both,70-74 years,Total cancers,Percent,1997,0.20091841784365802,0.204995733596397,0.19543767793665529
Deaths,Global,Both,75-79 years,Total cancers,Percent,1997,0.1700178391318684,0.1741350879961207,0.16266990287714042
Deaths,Global,Both,5-14 years,Total cancers,Percent,1997,0.05915846936777175,0.06658718101149527,0.05152840028831944
Deaths,Global,Both,15-49 years,Total cancers,Percent,1997,0.12202281058894839,0.12766910177652707,0.11595770036161338
Deaths,Global,Both,50-69 years,Total cancers,Percent,1997,0.23250639593975764,0.2369070674159381,0.2277364568941426
Deaths,Global,Both,80-84,Total cancers,Percent,1997,0.13236366811865846,0.13748836425391456,0.12178991951179269
Deaths,Global,Both,85-89,Total cancers,Percent,1997,0.10851878886876216,0.11492464359897561,0.09516146741808842
Deaths,Global,Both,90-94,Total cancers,Percent,1997,0.08398635279760759,0.09140409261906235,0.06988200992927567
Deaths,Global,Both,50-74 years,Total cancers,Percent,1997,0.22356391069239204,0.2278458797694354,0.21877950570540636
Deaths,Global,Both,10-24 years,Total cancers,Percent,1997,0.05569393549221596,0.059444062622856245,0.05173945537146035
Deaths,Global,Both,10-19 years,Total cancers,Percent,1997,0.06115846855486112,0.06584010536575666,0.0562359545609565
Deaths,Global,Both,10 to 54 years,Total cancers,Percent,1997,0.13986319318758159,0.1454409591347152,0.13397543135327042
Deaths,Global,Both,5-19 years,Total cancers,Percent,1997,0.05718276743227321,0.06278679415988067,0.05122236095768094
Deaths,Global,Both,15-39 years,Total cancers,Percent,1997,0.07832778608074559,0.08287696770450383,0.07322443323444414
Deaths,Global,Both,25-49 years,Total cancers,Percent,1997,0.13871935955109985,0.14499039580613918,0.1315635807687528
Deaths,Global,Both,55+ years,Total cancers,Percent,1997,0.17929344955554652,0.18335319929212004,0.1720776115556906
Deaths,Global,Both,60-79 years,Total cancers,Percent,1997,0.2055024074698897,0.20931558265848962,0.19994757292174586
Deaths,Global,Both,65-74 years,Total cancers,Percent,1997,0.2123290219417429,0.21618632771677843,0.20710749333614084
Deaths,Global,Both,75-84 years,Total cancers,Percent,1997,0.1520377808790042,0.156519107132809,0.1431862523326346
Deaths,Global,Both,20-54 years,Total cancers,Percent,1997,0.14916242779607888,0.1550974169303391,0.14262306763956387
Deaths,Global,Both,55-89 years,Total cancers,Percent,1997,0.1865091862868389,0.1905214349741646,0.1796895569392895
Deaths,Global,Both,60-89 years,Total cancers,Percent,1997,0.18058897950792252,0.18460430419572177,0.17328387353551064
Deaths,Global,Both,65-89 years,Total cancers,Percent,1997,0.171689993624221,0.17580393169024436,0.16365219387285057
Deaths,Global,Both,70-89 years,Total cancers,Percent,1997,0.15811370139045652,0.1624823491389125,0.14925119603724715
Deaths,Global,Both,75-94 years,Total cancers,Percent,1997,0.13458525513107522,0.1396952351238062,0.12436890359153119
Deaths,Global,Both,1-4 years,Total cancers,Percent,2001,0.014928895093554958,0.019325514674773017,0.010930791586983832
Deaths,Global,Both,5-9 years,Total cancers,Percent,2001,0.05170453918858784,0.05959728333305886,0.04487500029828589
Deaths,Global,Both,10-14 years,Total cancers,Percent,2001,0.07259413411867462,0.07988980549437825,0.06503161490239018
Deaths,Global,Both,15-19 years,Total cancers,Percent,2001,0.054954699459796565,0.05816479049630537,0.05099134902518327
